question_id,winner,hardness_score
4f332ebd8cdc4ff2be74aa8828ff20d5,model_b,6
f2be6f13e5ed40e5b81443223996494c,model_b,5
5fafefb8a0c54243afb52d2892946cea,model_b,7
7834f572267f40709ecebb273a2b346b,model_a,6
1ccc7e58290245c4bd5457fce45f8640,model_a,7
0d096a65525f4fca88e308dc4fa8c9d5,model_b,6
482c48d602704ecba706287177adc75b,model_a,6
884550a835bb46378ca4defecfd01c20,model_a,3
66abfce97ac24dc9979679796a9bcdde,model_b,3
0c79e21662844d58a6d357afc6ec3dac,model_a,5
8a149df1b65149fbacf03942ad5381b6,tie (bothbad),6
0463a94054834d7496af695c803f6495,model_a,2
68d973b468f94340a60c1f1bf1fde4d2,model_b,5
be0f6bf4ec6d459ab8b6a96a8f973de1,model_a,7
09340e9dbf684ec68b1f14891a415068,model_a,5
d248eaf6de6e40aca61222c9b526cfc1,model_a,7
721f624ebba8498386a72a75a4bddcd3,model_a,8
5bbcf15ca41b48bb8dd3cb02cbab31b7,model_a,6
0834e257189848969ebeafc8b2319de4,model_b,6
eb50427500f84efd86a9d6b309078d8e,model_a,4
a0765fed811b491d9cd1d556e774390b,model_a,5
2ca2c7b606334f71994636bd00164cd0,model_b,6
c90fff6224d44bcf8c79d5b3953a0170,model_a,6
e2031c6fe33f416da86a969274e5ecaf,model_a,8
86ef885b5fb84de8843d72ae8cc7204a,model_a,4
a221176bb381459cb8a324fa43679ae3,model_a,7
824f239ca58442a3aff103bc65cd06ff,model_b,7
dd2685fc038a4e41bb5adf14830ce4f7,model_b,7
d1b8840840dc45868dcf1506dd324935,model_a,7
3e4c35469baf4d4a99561a392d795954,model_b,7
132864941c7341e1ad46aab9252529ef,model_b,7
d0b1bb3a355840658857be765415b507,model_b,7
f321fbaae65a4a8a818c44771f0c9dcb,model_a,5
22e047126452488aa3c8588ca40df922,model_a,7
27b4a6e671f54275bb9e1e88c62ad867,model_a,6
05b58ac48132441285e80b226bcced3e,model_b,7
6a77dc62487441318e1910c209629564,model_b,2
